Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,mul,mub,Vr,UU,VV,WW,[Fe/H],l,b,Av,Mbol
0.215,9.6,5.0,7.15,3.572,4.78,5.0,0.54,1.447,1.216,1.868,3.952,16.307,1.99,-0.442,31.74,-12.06,-25.98,24.89,-0.04,200.0,59.0,0.006,8.103
0.215,16.0,5.0,7.8,3.48,5.25,5.0,0.1,1.76,1.628,3.187,5.725,22.75,0.77,-2.076,15.66,-21.94,-16.35,2.52,0.04,200.0,59.0,0.006,0.0
0.215,16.0,5.0,7.8,3.48,5.25,7.0,0.1,1.861,1.53,3.209,5.478,22.631,-2.372,-1.148,16.52,-25.7,16.39,8.14,-0.52,200.0,59.0,0.006,0.0
0.215,16.1,5.0,7.8,3.48,5.25,6.0,0.1,1.834,1.652,3.183,5.747,22.852,2.341,1.706,-16.41,30.11,-14.44,-5.11,0.05,200.0,59.0,0.006,0.0
0.215,16.7,6.0,9.0,3.568,8.19,9.0,0.7,1.074,-0.012,1.252,1.165,23.431,7.768,-0.652,-131.66,85.46,-53.19,-116.28,-1.96,200.0,59.0,0.006,0.0
0.225,15.6,5.0,7.77,3.457,5.14,3.0,0.11,1.896,1.7,3.588,6.477,22.352,-0.117,0.911,-6.45,10.52,5.16,-0.52,0.06,200.0,59.0,0.006,13.721
0.225,15.2,5.0,7.74,3.465,5.14,7.0,0.12,1.883,1.684,3.428,6.043,21.885,-3.398,-3.7,-20.86,-34.11,26.17,-38.22,-0.02,200.0,59.0,0.006,13.353
0.225,15.0,5.0,7.74,3.469,5.1,6.0,0.12,1.87,1.617,3.387,5.898,21.822,-1.028,-11.95,43.28,-127.41,-34.7,-28.57,-0.15,200.0,59.0,0.006,13.153
0.225,14.6,5.0,7.71,3.477,5.08,7.0,0.14,1.874,1.583,3.267,5.601,21.416,4.222,-3.885,38.2,-36.47,-61.21,11.39,-0.41,200.0,59.0,0.006,12.785
0.225,14.2,5.0,7.65,3.484,5.04,7.0,0.15,1.772,1.475,3.116,5.5,20.965,6.389,1.429,-35.15,52.61,-53.4,-22.27,-0.17,200.0,59.0,0.006,12.416
0.225,13.2,5.0,7.6,3.502,4.99,3.0,0.2,1.575,1.329,2.833,5.224,19.873,1.755,0.013,-3.0,7.96,-17.03,-2.5,0.06,200.0,59.0,0.006,11.48
0.225,12.8,5.0,7.5,3.509,4.99,3.0,0.22,1.577,1.241,2.719,4.967,19.487,-1.726,-4.524,15.63,-52.75,0.4,-11.46,0.01,200.0,59.0,0.006,11.112
0.225,12.1,5.0,7.4,3.522,4.97,3.0,0.28,1.547,1.182,2.506,4.685,18.903,-2.056,-0.546,-19.0,-3.0,22.26,-19.29,-0.07,200.0,59.0,0.006,10.475
0.225,11.6,5.0,7.4,3.531,4.91,4.0,0.32,1.527,1.153,2.359,4.519,18.39,1.333,1.768,-13.18,26.43,-5.51,-1.58,-0.09,200.0,59.0,0.006,9.975
0.225,11.2,5.0,7.3,3.539,4.9,5.0,0.37,1.509,1.13,2.242,4.429,18.035,-1.162,-6.537,26.16,-73.09,-13.41,-13.5,-0.03,200.0,59.0,0.006,9.607
